Date,day,month,year,Max_temp,Min_temp,average_temp,Departure,HDD,CDD,heat_minus_cold_degree,precipitation,precipitation_clean,new_snow,new_snow_clean,snow_depth,snow_depth_clean
1/1/2015,1,1,2015,39,27,33,-2.2,32,0,32,0,0,0,0,0,0
1/2/2015,2,1,2015,42,35,38.5,3.5,26,0,26,0,0,0,0,0,0
1/3/2015,3,1,2015,42,33,37.5,2.7,27,0,27,0.71,0.71,T,0,0,0
1/4/2015,4,1,2015,56,41,48.5,13.8,16,0,16,0.3,0.3,0,0,0,0
1/5/2015,5,1,2015,49,21,35,0.5,30,0,30,0,0,0,0,0,0
1/6/2015,6,1,2015,22,19,20.5,-13.9,44,0,44,0.05,0.05,1,1,0,0
1/7/2015,7,1,2015,23,9,16,-18.2,49,0,49,0,0,0,0,1,1
1/8/2015,8,1,2015,21,8,14.5,-19.6,50,0,50,0,0,0,0,T,1
1/9/2015,9,1,2015,33,19,26,-7.9,39,0,39,0.07,0.07,1.5,1.5,T,1
1/10/2015,10,1,2015,23,16,19.5,-14.3,45,0,45,0,0,0,0,1,1
1/11/2015,11,1,2015,37,18,27.5,-6.2,37,0,37,0,0,0,0,1,1
1/12/2015,12,1,2015,39,35,37,3.4,28,0,28,0.36,0.36,T,0,T,1
1/13/2015,13,1,2015,36,17,26.5,-7,38,0,38,0,0,0,0,0,0
1/14/2015,14,1,2015,32,16,24,-9.4,41,0,41,0,0,0,0,0,0
1/15/2015,15,1,2015,35,25,30,-3.4,35,0,35,0,0,0,0,0,0
1/16/2015,16,1,2015,43,20,31.5,-1.8,33,0,33,0,0,0,0,0,0
1/17/2015,17,1,2015,32,17,24.5,-8.8,40,0,40,0,0,0,0,0,0
1/18/2015,18,1,2015,42,31,36.5,3.3,28,0,28,2.1,2.1,0,0,0,0
1/19/2015,19,1,2015,42,36,39,5.8,26,0,26,0,0,0,0,0,0
1/20/2015,20,1,2015,40,32,36,2.8,29,0,29,0,0,0,0,0,0
1/21/2015,21,1,2015,36,25,30.5,-2.6,34,0,34,0,0,0,0,0,0
1/22/2015,22,1,2015,40,31,35.5,2.4,29,0,29,0,0,0,0,0,0
1/23/2015,23,1,2015,39,28,33.5,0.3,31,0,31,0,0,0,0,0,0
1/24/2015,24,1,2015,39,33,36,2.8,29,0,29,0.72,0.72,3.6,3.6,3,3
1/25/2015,25,1,2015,42,31,36.5,3.3,28,0,28,0,0,0,0,2,2
1/26/2015,26,1,2015,31,22,26.5,-6.7,38,0,38,0.48,0.48,5.5,5.5,2,2
1/27/2015,27,1,2015,30,20,25,-8.3,40,0,40,0.36,0.36,4.3,4.3,8,8
1/28/2015,28,1,2015,34,16,25,-8.4,40,0,40,0,0,0,0,8,8
1/29/2015,29,1,2015,36,19,27.5,-5.9,37,0,37,0.02,0.02,T,0,6,6
1/30/2015,30,1,2015,38,19,28.5,-5,36,0,36,0.06,0.06,1,1,7,7
1/31/2015,31,1,2015,26,13,19.5,-14.1,45,0,45,0,0,0,0,7,7
2/1/2015,1,2,2015,36,20,28,-5.7,37,0,37,0.03,0.03,0.3,0.3,6,6
2/2/2015,2,2,2015,34,14,24,-9.8,41,0,41,1.02,1.02,5,5,7,7
2/3/2015,3,2,2015,26,13,19.5,-14.4,45,0,45,0,0,0,0,8,8
2/4/2015,4,2,2015,43,24,33.5,-0.5,31,0,31,0,0,0,0,8,8
2/5/2015,5,2,2015,42,14,28,-6.2,37,0,37,0,0,0,0,8,8
2/6/2015,6,2,2015,27,12,19.5,-14.8,45,0,45,0,0,0,0,8,8
2/7/2015,7,2,2015,40,25,32.5,-1.9,32,0,32,0.02,0.02,T,0,8,8
2/8/2015,8,2,2015,37,29,33,-1.6,32,0,32,0,0,0,0,8,8
2/9/2015,9,2,2015,29,25,27,-7.8,38,0,38,0.09,0.09,T,0,8,8
2/10/2015,10,2,2015,40,26,33,-1.9,32,0,32,0.01,0.01,0.1,0.1,8,8
2/11/2015,11,2,2015,34,22,28,-7.1,37,0,37,0,0,0,0,8,8
2/12/2015,12,2,2015,40,16,28,-7.3,37,0,37,T,0,T,0,8,8
2/13/2015,13,2,2015,21,8,14.5,-20.9,50,0,50,0,0,0,0,8,8
2/14/2015,14,2,2015,32,16,24,-11.6,41,0,41,0.02,0.02,0.9,0.9,8,8
2/15/2015,15,2,2015,25,4,14.5,-21.3,50,0,50,T,0.02,T,0.9,9,9
2/16/2015,16,2,2015,21,3,12,-24,53,0,53,0,0,0,0,9,9
2/17/2015,17,2,2015,27,14,20.5,-15.7,44,0,44,0.14,0.14,3.3,3.3,12,12
2/18/2015,18,2,2015,33,19,26,-10.4,39,0,39,T,0.14,T,3.3,9,9
2/19/2015,19,2,2015,27,8,17.5,-19.1,47,0,47,0,0,0,0,9,9
2/20/2015,20,2,2015,19,2,10.5,-26.3,54,0,54,0,0,0,0,9,9
2/21/2015,21,2,2015,32,13,22.5,-14.5,42,0,42,0.61,0.61,3,3,9,9
2/22/2015,22,2,2015,43,32,37.5,0.3,27,0,27,0.1,0.1,1,1,13,13
2/23/2015,23,2,2015,38,8,23,-14.4,42,0,42,0,0,0,0,12,12
2/24/2015,24,2,2015,24,4,14,-23.6,51,0,51,0,0,0,0,12,12
2/25/2015,25,2,2015,37,20,28.5,-9.4,36,0,36,0,0,0,0,12,12
2/26/2015,26,2,2015,32,21,26.5,-11.6,38,0,38,0,0,0,0,11,11
2/27/2015,27,2,2015,30,18,24,-14.3,41,0,41,0,0,0,0,11,11
2/28/2015,28,2,2015,29,13,21,-17.5,44,0,44,0,0,0,0,11,11
3/1/2015,1,3,2015,31,24,27.5,-11.3,37,0,37,0.52,0.52,4.8,4.8,10,10
3/2/2015,2,3,2015,39,27,33,-6,32,0,32,0,0,0,0,15,15
3/3/2015,3,3,2015,37,22,29.5,-9.7,35,0,35,0.67,0.67,1.8,1.8,14,14
3/4/2015,4,3,2015,45,35,40,0.5,25,0,25,0.25,0.25,0,0,13,13
3/5/2015,5,3,2015,40,19,29.5,-10.2,35,0,35,0.76,0.76,7.5,7.5,13,13
